code_id,code_name,symbol,timeframe,risk_model,period_start,period_end,is_oos,trades,win_rate_pct,profit_factor,net_profit_pct,max_dd_pct,avg_r,verdict,notes
1,utbot,HYPEUSDT,5m,crypto_sl3_tp4,2026-06-11,2026-07-11,IS,48,45.8,1.0,-2.48,-18.75,0.003,borderline,"1-month window, costs included"
1,utbot,HYPEUSDT,5m,native_flip,2026-06-11,2026-07-11,IS,1229,27.7,0.49,-91.09,-91.37,,fail,"1-month window, costs included"
2,alphatrend,HYPEUSDT,5m,crypto_sl1_tp2,2026-06-11,2026-07-11,IS,143,37.8,0.91,-10.52,-18.17,-0.067,fail,"1-month window, costs included"
2,alphatrend,HYPEUSDT,5m,crypto_sl1_tp4,2026-06-11,2026-07-11,IS,84,21.4,0.86,-11.79,-25.49,-0.129,fail,"1-month window, costs included"
2,alphatrend,HYPEUSDT,5m,crypto_sl3_tp2,2026-06-11,2026-07-11,IS,73,61.6,0.9,-10.22,-21.02,-0.039,fail,"1-month window, costs included"
2,alphatrend,HYPEUSDT,5m,crypto_sl3_tp4,2026-06-11,2026-07-11,IS,45,48.9,1.14,7.52,-14.6,0.074,promising,"1-month window, costs included"
2,alphatrend,HYPEUSDT,5m,native_flip,2026-06-11,2026-07-11,IS,247,31.6,0.69,-40.9,-46.0,,fail,"1-month window, costs included"
3,macross,HYPEUSDT,5m,crypto_sl1_tp2,2026-06-11,2026-07-11,IS,109,33.0,0.74,-21.26,-25.29,-0.209,fail,"1-month window, costs included"
3,macross,HYPEUSDT,5m,crypto_sl1_tp4,2026-06-11,2026-07-11,IS,80,16.2,0.61,-27.68,-32.95,-0.387,fail,"1-month window, costs included"
3,macross,HYPEUSDT,5m,crypto_sl3_tp2,2026-06-11,2026-07-11,IS,50,62.0,0.92,-6.28,-23.31,-0.033,fail,"1-month window, costs included"
3,macross,HYPEUSDT,5m,crypto_sl3_tp4,2026-06-11,2026-07-11,IS,32,46.9,1.05,0.66,-12.2,0.027,borderline,"1-month window, costs included"
3,macross,HYPEUSDT,5m,native_flip,2026-06-11,2026-07-11,IS,167,26.3,0.63,-41.12,-47.65,,fail,"1-month window, costs included"
1,utbot,HYPEUSDT,15m,crypto_sl1_tp2,2026-06-11,2026-07-11,IS,193,33.7,0.76,-32.0,-39.19,-0.19,fail,"1-month window, costs included"
1,utbot,HYPEUSDT,15m,crypto_sl1_tp4,2026-06-11,2026-07-11,IS,106,21.7,0.88,-13.43,-31.75,-0.115,fail,"1-month window, costs included"
